Bracket Name,Bracket ID,Tiebreaker Score
Carson Hatfield's Picks 1,c8daf120-2217-11f1-8c06-2576181018d8,115
AndrewMCorral's Picks 2,e5a0cd80-2351-11f1-af4b-bff2f9ea6d65,145
Charlie Kirk's Bracket,aa7b3310-215a-11f1-a9b7-91d2aa9791a9,156
Mobleys to the moon's Picks 1,ee7b0340-2260-11f1-9806-db4fdc00baff,141
Eleff18's Picks 1,52387c40-20e1-11f1-ac80-a5a96d9405ea,129
Mick is the Pick,1fbcc5b0-2310-11f1-9d0e-69f868acd754,135
Sampsonites,e689d600-2235-11f1-9819-a38692af12ac,150
catmasqueaks,0b93f100-2340-11f1-a9b7-91d2aa9791a9,120
Nick Barbarino's Picks 3,b50acb70-2352-11f1-8f22-81e09c22f0b8,150
Niclad,e56f5670-2152-11f1-9819-a38692af12ac,
themattdelman's Picks 1,03c85fe0-22e3-11f1-b55e-3315635bfaed,150
bobby brackins,a7ebf4c0-20ee-11f1-ba32-93766fdb3ffd,161
Choice,cccbf290-23a5-11f1-aa6c-e53c1482e271,141
thedogreviews's Picks 1,d3a19500-22d0-11f1-b770-77498f20d1f9,138
Briggskuda21's Picks 2,37243470-23ad-11f1-af4b-bff2f9ea6d65,148
Gabys Picks,6856d7a0-22db-11f1-bf32-8794a055fbb5,140
eloeb10's Picks 1,4ee9f7a0-215c-11f1-8c33-d1a52be5ee24,129
gabem222's Picks 1,ddc6a6b0-2352-11f1-916a-cfd1b14f07b4,130
deppeb's Picks 1,9a023720-2323-11f1-9d0e-69f868acd754,121
tyoung2848's Picks 1,5c5b1dc0-2133-11f1-b55e-3315635bfaed,125
seeley1073's Picks 1,1b0f05d0-22f4-11f1-8c06-2576181018d8,167
